Num,EUI-M,EUI,Device,Date,Time,Status,Description
0001,025354,89ACBC2D0D,2510V1.1,2026-06-03,10:37:16,Repaired,Defected_was_on_2026-05-22_13:13:28
0002,025354,6C3279410D,2510V1.1,2026-05-22,13:27:52,Repaired,Defected_was_on_2026-05-22_13:17:46
0003,025354,E7F77BF20C,2510V1.1,2026-06-01,13:19:05,Ok
0004,025354,7FE539B50D,2510V1.1,2026-06-02,10:08:24,Ok
0005,025354,4B9CF8A90D,2510V1.1,2026-06-02,10:20:13,Repaired,Defected_was_on_2026-06-02_10:14:29
0006,025354,BDD57D310D,2510V1.1,2026-06-02,10:38:48,Ok
0007,025354,AE023DC50D,2510V1.1,2026-06-02,16:34:20,Ok
