Num,EUI-M,EUI,Device,Date,Time,Status,Description
0001,025354,1B387CE356,2405V1.5,2026-05-20,14:16:00,Ok,
0002,0004A3,0B01300798,2405V1.5,2026-05-21,11:29:35,Ok,
